./logs/33789148_command_29922.log:command id: command_29922, hostname: nid001833, cpu (hw thread id): 104
./logs/33789148_command_29914.log:command id: command_29914, hostname: nid001833, cpu (hw thread id): 113
./logs/33789148_command_29906.log:command id: command_29906, hostname: nid001833, cpu (hw thread id): 88
./logs/33789148_command_29853.log:command id: command_29853, hostname: nid001833, cpu (hw thread id): 29
./logs/33789148_command_29845.log:command id: command_29845, hostname: nid001833, cpu (hw thread id): 22
./logs/33789148_command_29898.log:command id: command_29898, hostname: nid001833, cpu (hw thread id): 72
./logs/33789148_command_29879.log:command id: command_29879, hostname: nid001833, cpu (hw thread id): 55
./logs/33789148_command_29871.log:command id: command_29871, hostname: nid001833, cpu (hw thread id): 47
./logs/33789148_command_29863.log:command id: command_29863, hostname: nid001833, cpu (hw thread id): 40
./logs/33789148_command_29837.log:command id: command_29837, hostname: nid001833, cpu (hw thread id): 13
./logs/33789148_command_29829.log:command id: command_29829, hostname: nid001833, cpu (hw thread id): 8
./logs/33789148_command_29890.log:command id: command_29890, hostname: nid001833, cpu (hw thread id): 65
./logs/33789148_command_29855.log:command id: command_29855, hostname: nid001833, cpu (hw thread id): 31
./logs/33789147_command_29821.log:command id: command_29821, hostname: nid001772, cpu (hw thread id): 104
./logs/33789148_command_29882.log:command id: command_29882, hostname: nid001833, cpu (hw thread id): 57
./logs/33789147_command_29813.log:command id: command_29813, hostname: nid001772, cpu (hw thread id): 110
./logs/33789147_command_29805.log:command id: command_29805, hostname: nid001772, cpu (hw thread id): 89
./logs/33789147_command_29797.log:command id: command_29797, hostname: nid001772, cpu (hw thread id): 19
./logs/33789147_command_29789.log:command id: command_29789, hostname: nid001772, cpu (hw thread id): 29
./logs/33789147_command_29781.log:command id: command_29781, hostname: nid001772, cpu (hw thread id): 101
./logs/33789147_command_29773.log:command id: command_29773, hostname: nid001772, cpu (hw thread id): 26
./logs/33789147_command_29765.log:command id: command_29765, hostname: nid001772, cpu (hw thread id): 109
./logs/33789149_command_29963.log:command id: command_29963, hostname: nid001844, cpu (hw thread id): 14
./logs/33789149_command_29955.log:command id: command_29955, hostname: nid001844, cpu (hw thread id): 0
./logs/33789149_command_29976.log:command id: command_29976, hostname: nid001844, cpu (hw thread id): 25
./logs/33789149_command_29968.log:command id: command_29968, hostname: nid001844, cpu (hw thread id): 19
./logs/33789148_command_29947.log:command id: command_29947, hostname: nid001833, cpu (hw thread id): 123
./logs/33789148_command_29939.log:command id: command_29939, hostname: nid001833, cpu (hw thread id): 105
./logs/33789148_command_29931.log:command id: command_29931, hostname: nid001833, cpu (hw thread id): 102
./logs/33789148_command_29926.log:command id: command_29926, hostname: nid001833, cpu (hw thread id): 119
./logs/33789149_command_29960.log:command id: command_29960, hostname: nid001844, cpu (hw thread id): 8
./logs/33789149_command_29952.log:command id: command_29952, hostname: nid001844, cpu (hw thread id): 2
./logs/33789148_command_29944.log:command id: command_29944, hostname: nid001833, cpu (hw thread id): 110
./logs/33789148_command_29936.log:command id: command_29936, hostname: nid001833, cpu (hw thread id): 115
./logs/33789148_command_29928.log:command id: command_29928, hostname: nid001833, cpu (hw thread id): 127
./logs/33789148_command_29918.log:command id: command_29918, hostname: nid001833, cpu (hw thread id): 98
./logs/33789148_command_29910.log:command id: command_29910, hostname: nid001833, cpu (hw thread id): 86
./logs/33789148_command_29923.log:command id: command_29923, hostname: nid001833, cpu (hw thread id): 95
./logs/33789149_command_29956.log:command id: command_29956, hostname: nid001844, cpu (hw thread id): 5
./logs/33789147_command_29757.log:command id: command_29757, hostname: nid001772, cpu (hw thread id): 22
./logs/33789147_command_29749.log:command id: command_29749, hostname: nid001772, cpu (hw thread id): 74
./logs/33789148_command_29902.log:command id: command_29902, hostname: nid001833, cpu (hw thread id): 74
./logs/33789148_command_29894.log:command id: command_29894, hostname: nid001833, cpu (hw thread id): 68
./logs/33789148_command_29886.log:command id: command_29886, hostname: nid001833, cpu (hw thread id): 61
./logs/33789148_command_29915.log:command id: command_29915, hostname: nid001833, cpu (hw thread id): 99
./logs/33789148_command_29907.log:command id: command_29907, hostname: nid001833, cpu (hw thread id): 84
./logs/33789148_command_29899.log:command id: command_29899, hostname: nid001833, cpu (hw thread id): 69
./logs/33789148_command_29891.log:command id: command_29891, hostname: nid001833, cpu (hw thread id): 64
./logs/33789148_command_29883.log:command id: command_29883, hostname: nid001833, cpu (hw thread id): 80
./logs/33789148_command_29948.log:command id: command_29948, hostname: nid001833, cpu (hw thread id): 122
./logs/33789148_command_29940.log:command id: command_29940, hostname: nid001833, cpu (hw thread id): 112
./logs/33789148_command_29932.log:command id: command_29932, hostname: nid001833, cpu (hw thread id): 100
./logs/33789148_command_29878.log:command id: command_29878, hostname: nid001833, cpu (hw thread id): 53
./logs/33789148_command_29870.log:command id: command_29870, hostname: nid001833, cpu (hw thread id): 46
./logs/33789148_command_29862.log:command id: command_29862, hostname: nid001833, cpu (hw thread id): 39
./logs/33789148_command_29854.log:command id: command_29854, hostname: nid001833, cpu (hw thread id): 30
./logs/33789148_command_29846.log:command id: command_29846, hostname: nid001833, cpu (hw thread id): 21
./logs/33789148_command_29838.log:command id: command_29838, hostname: nid001833, cpu (hw thread id): 17
./logs/33789148_command_29830.log:command id: command_29830, hostname: nid001833, cpu (hw thread id): 4
./logs/33789147_command_29822.log:command id: command_29822, hostname: nid001772, cpu (hw thread id): 99
./logs/33789147_command_29814.log:command id: command_29814, hostname: nid001772, cpu (hw thread id): 123
./logs/33789147_command_29806.log:command id: command_29806, hostname: nid001772, cpu (hw thread id): 86
./logs/33789148_command_29924.log:command id: command_29924, hostname: nid001833, cpu (hw thread id): 121
./logs/33789148_command_29916.log:command id: command_29916, hostname: nid001833, cpu (hw thread id): 91
./logs/33789148_command_29908.log:command id: command_29908, hostname: nid001833, cpu (hw thread id): 85
./logs/33789148_command_29874.log:command id: command_29874, hostname: nid001833, cpu (hw thread id): 50
./logs/33789148_command_29921.log:command id: command_29921, hostname: nid001833, cpu (hw thread id): 94
./logs/33789148_command_29866.log:command id: command_29866, hostname: nid001833, cpu (hw thread id): 42
./logs/33789148_command_29913.log:command id: command_29913, hostname: nid001833, cpu (hw thread id): 89
./logs/33789148_command_29858.log:command id: command_29858, hostname: nid001833, cpu (hw thread id): 34
./logs/33789148_command_29905.log:command id: command_29905, hostname: nid001833, cpu (hw thread id): 81
./logs/33789148_command_29850.log:command id: command_29850, hostname: nid001833, cpu (hw thread id): 24
./logs/33789148_command_29842.log:command id: command_29842, hostname: nid001833, cpu (hw thread id): 19
./logs/33789147_command_29798.log:command id: command_29798, hostname: nid001772, cpu (hw thread id): 24
./logs/33789147_command_29790.log:command id: command_29790, hostname: nid001772, cpu (hw thread id): 34
./logs/33789147_command_29782.log:command id: command_29782, hostname: nid001772, cpu (hw thread id): 15
./logs/33789147_command_29774.log:command id: command_29774, hostname: nid001772, cpu (hw thread id): 76
./logs/33789147_command_29766.log:command id: command_29766, hostname: nid001772, cpu (hw thread id): 121
./logs/33789147_command_29758.log:command id: command_29758, hostname: nid001772, cpu (hw thread id): 81
./logs/33789147_command_29750.log:command id: command_29750, hostname: nid001772, cpu (hw thread id): 67
./logs/33789147_command_29742.log:command id: command_29742, hostname: nid001772, cpu (hw thread id): 61
./logs/33789147_command_29741.log:command id: command_29741, hostname: nid001772, cpu (hw thread id): 98
./logs/33789147_command_29734.log:command id: command_29734, hostname: nid001772, cpu (hw thread id): 66
./logs/33789148_command_29897.log:command id: command_29897, hostname: nid001833, cpu (hw thread id): 70
./logs/33789147_command_29726.log:command id: command_29726, hostname: nid001772, cpu (hw thread id): 23
./logs/33789147_command_29718.log:command id: command_29718, hostname: nid001772, cpu (hw thread id): 62
./logs/33789148_command_29875.log:command id: command_29875, hostname: nid001833, cpu (hw thread id): 51
